Year,NSW,QLD,VIC,SA,WA,Jun_SOI,Jul_SOI,Aug_SOI,Jun_NiNO3.4,Jul_NiNO3.4,Aug_NiNO3.4,Jun_MEI,Jul_MEI,Aug_MEI,Jun_phase,Jul_phase,Aug_phase,Jan_SOI,Feb_SOI,Mar_SOI,Apr_SOI,May_SOI,Jan_phase,Feb_phase,Mar_phase,Apr_phase,May_phase
1955,40.05,-5.1,28.99,7.77,10.88,12.8,16.6,13.6,26.49,25.91,25.96,-2.247,-1.976,-2.05,phase2,phase2,phase2,-5.5,14.6,1.2,-5.2,11.4,phase3,phase4,phase3,phase5,phase4
1956,-23.03,-3.63,32.87,-2.83,-10.09,10,11.1,10.6,26.85,26.28,26.06,-1.523,-1.244,-1.118,phase2,phase2,phase2,10.8,12.1,7.4,8.7,16.5,phase2,phase2,phase2,phase2,phase2
1957,-92.21,-29.29,-21,-35.01,-24.28,-1.8,1.4,-8.2,28.22,27.91,27.66,0.73,0.926,1.132,phase4,phase5,phase3,4.5,-3.2,-2.7,-0.1,-11.5,phase2,phase3,phase5,phase5,phase3
1958,9.15,-19.67,38.23,22.34,3.34,-0.4,3.3,7.5,27.99,27.26,27.12,0.812,0.7,0.421,phase4,phase5,phase2,-17.5,-7.1,-2.2,1.3,-9.3,phase3,phase1,phase5,phase5,phase3
1959,30.41,-18.78,2.54,-11.5,-10.84,-5.3,-4,-4,27.36,26.95,26.47,-0.062,-0.112,0.111,phase3,phase5,phase5,-8.9,-15,7,4.3,4,phase1,phase1,phase4,phase2,phase5
1960,5.63,-9.15,51.89,-10.16,-18.18,-2.5,4.5,6.3,27.48,26.98,26.87,-0.287,-0.318,-0.25,phase5,phase4,phase2,0.2,-1.7,4.5,7.2,4.7,phase5,phase5,phase4,phase2,phase2
1961,37.52,16.24,-42.71,-18.99,-25.48,-2.5,-0.4,-0.3,27.79,26.9,26.62,-0.185,-0.208,-0.3,phase5,phase5,phase5,-3.1,5.7,-20.5,7.9,1.8,phase3,phase4,phase3,phase4,phase2
1962,-35.64,-23.08,-20.01,-9.39,-12.31,5.1,-0.4,4.5,27.47,26.92,26.74,-0.87,-0.683,-0.538,phase2,phase5,phase4,16.5,-5.2,-3.1,-0.8,12.1,phase2,phase3,phase5,phase5,phase4
1963,-15.89,-34.37,-31.56,-39.59,-20.94,-10.2,-2.2,-2.8,27.81,27.95,27.78,-0.144,0.404,0.59,phase3,phase4,phase5,8.4,2.7,5.5,7.2,2.5,phase4,phase2,phase5,phase2,phase2
1964,19.9,45.06,69.76,32.76,4.8,5.8,5.1,14.2,26.81,26.58,26.11,-1.15,-1.384,-1.486,phase2,phase2,phase4,-4.1,-2.2,5.5,1.3,6.9,phase1,phase5,phase4,phase5,phase4
1965,-27.18,-54.09,-22.45,-23.6,7.44,-10.9,-21,-10.1,28.14,28.03,28.12,0.867,1.367,1.425,phase3,phase3,phase1,-4.6,1.2,2.1,-10.4,-0.4,phase5,phase4,phase5,phase3,phase4
1966,31.77,-13.51,28.42,-6.44,3.95,0.3,-0.4,4.5,27.82,27.45,26.77,-0.193,-0.116,0.152,phase4,phase5,phase4,-4.6,-4.7,-12.8,-6,-7.8,phase5,phase5,phase3,phase1,phase5
1967,-52.93,-37.46,-101.4,-37.15,-18.56,4.5,0.8,5.7,27.56,27.12,26.57,-0.236,-0.492,-0.391,phase4,phase5,phase4,14.1,12.6,6.5,-3.8,-2.6,phase4,phase2,phase2,phase3,phase5
1968,-60.9,-58.31,-18.2,-16.56,-6.51,10,6.3,0.3,27.87,27.54,27.2,-0.812,-0.503,-0.104,phase2,phase2,phase5,3.6,9.1,-3.6,-3,14.3,phase4,phase4,phase3,phase5,phase4
1969,34.64,-20.23,-15.61,-15.48,-17.72,-1.1,-6.4,-4,27.95,27.32,27.39,0.801,0.49,0.212,phase5,phase5,phase5,-14.2,-7.6,-0.7,-8.2,-5.6,phase3,phase1,phase4,phase3,phase1
1970,51.62,24.64,1.7,7.61,-1.92,8.6,-5.2,3.9,27.38,26.25,25.92,-0.636,-1.055,-1.007,phase4,phase3,phase4,-10.8,-12.1,0.7,-4.5,2.5,phase3,phase1,phase4,phase5,phase4
1971,-18.15,-7.48,54.95,12.49,3.42,1.7,1.4,14.2,26.91,26.59,26.22,-1.42,-1.207,-1.213,phase2,phase5,phase4,2.1,15.5,16.1,19.6,9.2,phase3,phase4,phase2,phase2,phase2
1972,4.76,-1.37,-73.41,-22.82,-15.47,-10.9,-17.3,-8.2,28.35,28.06,28.18,0.966,1.826,1.8,phase1,phase1,phase1,3.1,7.2,1.2,-5.2,-24,phase5,phase2,phase5,phase5,phase3
1973,81.96,100.77,74.86,17.78,26.22,10,5.7,11.8,26.83,26.08,25.66,-0.758,-1.056,-1.334,phase4,phase2,phase2,-3.6,-15,-0.3,-2.3,3.3,phase1,phase3,phase4,phase5,phase4
1974,24.02,8.56,53.37,68.12,37.81,1.7,11.1,6.3,26.99,26.58,26.56,-0.694,-0.75,-0.664,phase2,phase4,phase2,20.3,16,17,9.4,10.6,phase2,phase2,phase2,phase2,phase2
1975,50.99,44.55,118.78,78.83,73.93,12.8,19.6,19.7,26.43,25.99,25.72,-1.148,-1.497,-1.712,phase2,phase2,phase2,-6,4.7,9.4,12.3,6.2,phase5,phase4,phase2,phase2,phase2
1976,43.58,26.4,56.23,38.17,3.55,0.3,-11.9,-11.3,27.69,27.38,27.18,0.276,0.633,0.654,phase5,phase3,phase1,11.2,12.6,10.8,0.6,2.5,phase2,phase2,phase2,phase3,phase5
1977,-59.5,-33.6,-60.48,15.23,-11.08,-15.8,-13.7,-11.3,28.05,27.67,27.13,0.414,0.888,0.684,phase1,phase1,phase1,-4.1,8.6,-9.4,-8.2,-9.3,phase4,phase4,phase3,phase1,phase1
1978,48.82,28.86,46.37,18.73,3.89,4.5,5.1,2.1,27.23,26.75,26.26,-0.605,-0.42,-0.199,phase2,phase5,phase5,-3.6,-26.9,-6,-7.4,15.8,phase1,phase3,phase1,phase5,phase4
